	QM	lsdamR	saundershwR	ptclaireR	ogdensburgR	cardinalR	iroquoishwR	iroquoistwR	morrisburgR	saunderstwR	cornwallR	summerstownR	jetty1R	varennesR	sorelR	stpierreR	threeriversR	batiscanR
33	34	1.0310000000000001	1.0267685950413223	1.007504132231405	1.0284950495867768	1.032485148595041	1.0255544553719007	1.014504950413223	1.0254554456198346	1.0103762376859502	1.0626237623140495	1.1708217821487605	1.0192970297520663	1.0173366337190082	1.0207326732231403	0.9974455446280992	0.9974455446280992	1.0085544553719008
34	35	1.0337603305785124	1.0305785123966942	1.005198347107438	1.048702970247934	1.0402376238016529	1.0324059406611572	1.0238217821487605	1.031574257355372	1.0109207920661156	1.0687920791735535	1.1877029702479338	1.0182673267768596	1.015039603966942	1.0196534652892562	1.0027128712396693	1.0027128712396693	1.0234059406611569
35	36	1.0190991735537192	1.015090909090909	1.0044049586776858	1.007702970247934	1.017445544628099	1.0146732672727272	1.004	1.0155742573553719	1.0094356436363636	1.0595148514049586	1.1689009900826446	1.01108910892562	1.0043861386776858	1.0025445543801652	0.9860396039669421	0.9860396039669421	0.9798217821487604
36	37	1.0035619834710745	0.999909090909091	1.001090909090909	0.9784356436363636	0.9987425742148759	0.9973960396694215	0.9929306930578512	0.998	1.0099405940495867	1.061386138677686	1.1602376238016527	1.0065445543801652	1.0042376238016528	1.0011287128925621	0.9885148514049586	0.9885148514049586	0.989217821818182
37	38	1.0035289256198348	0.9996611570247934	1.0011983471074382	1.0008811880991733	1.002891089090909	1.0013762376859505	0.9967128712396693	1.002188118842975	1.0077920791735537	1.0472871287603305	1.1375643563636364	1.0096435642975208	1.0049702970247933	1.0027722771900827	0.9840000000000001	0.9840000000000001	1.0032277228099173
38	39	0.9925041322314049	0.988892561983471	0.9998595041322313	0.9857326732231404	0.9924554456198346	0.9969603960330579	0.9891980198347107	0.997742574214876	1.0061188119008264	1.0417326732231407	1.1207524752066116	1.0034257426446278	0.9956534652892562	0.992405940661157	0.9724950495867768	0.9724950495867768	0.9914455446280991
39	40	0.9866859504132233	0.9840165289256197	0.9986528925619836	0.9790594059504131	0.9885940593388429	0.9890792079338843	0.9840693069421488	0.9890792079338843	1.006633663305785	1.0405742573553718	1.1224356436363636	0.9945247523966942	0.9739900990082645	0.9776138613223139	0.9640594059504134	0.9640594059504134	0.9817821781818182
40	41	0.9810909090909091	0.9768595041322314	0.9976280991735537	0.9725445543801654	0.9800099009917357	0.9838415841322316	0.9795247523966942	0.9844455446280992	1.0064752476033059	1.0265148514049587	1.0931881188429753	0.9961386138842975	0.9899702970247932	0.9836930692561983	0.9719207920661157	0.9719207920661157	0.9870792079338844
41	42	0.9847024793388431	0.9798512396694214	0.9976776859504132	0.9885643563636364	0.9886831682644627	0.9910396039669421	0.9878712871074382	0.9911683168595041	1.0089306930578512	1.0169207920661156	1.0810792079338845	0.9959108910743799	0.9885148514049588	0.983594059338843	0.9681386138842977	0.9681386138842977	1.003425742644628
42	43	0.9725289256198347	0.9674214876033058	0.9965619834710744	0.9459405940495867	0.9694653466115702	0.972831683140496	0.9712574257851238	0.9747227722314049	1.0039405940495867	0.997742574214876	1.0340297029752066	0.9902475247933885	0.9795643563636364	0.9762079208264463	0.9656039603305783	0.9656039603305783	0.9837326732231406
43	44	0.968694214876033	0.9654462809917356	0.9957190082644628	0.9553366337190083	0.9692376238016528	0.9730099009917353	0.972019801983471	0.974039603966942	1.0041683168595041	0.9998811880991735	1.0148514851239667	0.988871287107438	0.9711683168595041	0.9676930692561982	0.9531089109090908	0.9531089109090908	0.9666534652892562
44	45	0.9663801652892562	0.9636198347107436	0.9978016528925621	0.9472574257851241	0.9650495049586775	0.9681782178512398	0.9650495049586776	0.971039603966942	1.0029405940495868	0.9962574257851239	1.0158316831404959	0.9937326732231404	0.9856138613223142	0.9773366337190083	0.959613861322314	0.959613861322314	0.9752970297520661
45	46	0.9846776859504132	0.9797520661157025	1.006884297520661	0.9721782178512396	0.985297029752066	0.9888217821487604	0.9880297029752066	0.9908811880991734	1.0039306930578513	1.001039603966942	1.021633663305785	1.006851485123967	1.0028118811570248	0.9949207920661157	0.9872574257851237	0.9872574257851237	1.0054653466115702
46	47	1.0076694214876034	1.0057438016528926	1.0182314049586776	1.0119702970247935	1.0112376238016527	1.012257425785124	1.011722772231405	1.0136237623140496	1.0102178218181819	1.0017524752066116	0.9959405940495869	1.015425742644628	1.0173564357024794	1.001673267272727	0.9853465347107438	0.9853465347107438	0.9844950495867769
47	48	1.0265537190082643	1.031090909090909	1.03499173553719	1.0491782178512397	1.0291485148760329	1.0300792079338843	1.0262673267768594	1.0543168317355371	1.0390990099173554	1.080930693057851	1.1084455446280992	1.0236237623140496	1.024762376198347	1.0002475247933886	0.9764851485950413	0.9764851485950413	0.9529009900826447
