Year,Day           Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1907,  8        74.533   74.713   74.649   74.792   74.871   74.905   74.926     -      74.725   74.743   74.759     -
1907,  9        74.646   74.707   74.646   74.737   74.890   74.896   74.938   74.874   74.707   74.731   74.731   74.618
1907, 10        74.701   74.731   74.624   74.777   74.975   74.850   74.929   74.877   74.728   74.810   74.704   74.667
1907, 11        74.646   74.731   74.637   74.850   74.874   74.841   74.883   74.877   74.792   74.786   74.691   74.679
1907, 12        74.469   74.734   74.615   74.832   74.893   74.890   74.896   74.905   74.853   74.752   74.707   74.695
1907, 13        74.539   74.713   74.646   74.813   74.951   74.902   74.923   74.911   74.771   74.722   74.853   74.652
1907, 14        74.594   74.731   74.618   74.856   74.819   74.929   74.905   74.844   74.762   74.737   74.716   74.722
1907, 15        74.631   74.725   74.673   74.856   74.883   74.896   74.899   74.832   74.783   74.743     -        -
1907, 16        74.627   74.707   74.634   74.853   74.954   74.935   74.929   74.868   74.783   74.755   74.704   74.731
1907, 17        74.649   74.701   74.685   74.877   74.929   74.954   74.917   74.923   74.722   74.749   74.682   74.710
1907, 18        74.658   74.685   74.643   74.880   74.911   74.926   74.926   74.829   74.624   74.731   74.695   74.664
1907, 19        74.685   74.707   74.646   74.835   74.917   74.880   74.911   74.819   74.701   74.716   74.646   74.777
1907, 20        74.819   74.710   74.701   74.856   74.951   74.899   74.914   74.856   74.759   74.667   74.594   74.792
1907, 21        74.731   74.740   74.667   74.893   74.917   74.899   74.920   74.801   74.759   74.707   74.774   74.725
1907, 22        74.710   74.722   74.701   74.905   74.929   74.887   74.902   74.832   74.722   74.777   74.707   74.755
1907, 23        74.725   74.698   74.691   74.819   74.902   74.899   74.908   74.813   74.688   74.649   74.652   74.609
1907, 24        74.710   74.670   74.685   74.826   74.862   74.908   74.935   74.853   74.829   74.679   74.542   74.762
1907, 25        74.695   74.731   74.749   74.798   74.832   74.911   74.935   74.850   74.813   74.704   74.612   74.728
1907, 26        74.728   74.670   74.759   74.774   74.874   74.938   74.990   74.819   74.725   74.637   74.631   74.701
1907, 27        74.725   74.664   74.759   74.804   75.024   74.975   74.981   74.816   74.755   74.701   74.676   74.765
1907, 28        74.749   74.652   74.801   74.798   75.008   74.917   74.981   74.792   74.512   74.634   74.631   74.752
1907, 29        74.740            74.755   74.847   74.911   74.893   74.935   74.795   74.609   74.615   74.646   74.737
1907, 30        74.731            74.847   74.768   74.890   74.902   74.987   74.755   74.768   74.624   74.573   74.783
1907, 31        74.710            74.826            74.868            74.938   74.743            74.621            74.813
1908,  1          -        -        -        -        -        -        -        -        -        -        -        -
1908,  2          -        -        -        -        -        -        -        -        -        -        -        -
1908,  3          -        -        -        -        -        -        -        -        -        -        -        -
1908,  4          -        -        -        -        -        -        -        -        -        -        -        -
1908,  5          -        -        -        -        -        -        -        -        -        -        -        -
1908,  6          -        -        -        -        -        -        -        -        -        -        -        -
1908,  7          -        -        -        -        -        -        -        -        -        -        -        -
1908,  8          -        -        -        -        -        -        -        -        -        -        -        -
1908,  9          -        -        -        -        -        -        -        -        -        -        -        -
1908, 10          -        -        -        -        -        -        -        -        -        -        -        -
1908, 11          -        -        -        -        -        -        -        -        -        -        -        -
1908, 12          -        -        -        -        -        -        -        -        -        -        -        -
1908, 13          -        -        -        -        -        -        -        -        -        -        -        -
1908, 14          -        -        -        -        -        -        -        -        -        -        -        -
1908, 15          -        -        -        -        -        -        -        -        -        -        -        -
1908, 16          -        -        -        -        -        -        -        -        -        -        -        -
1908, 17          -        -        -        -        -        -        -        -        -        -        -        -
1908, 18          -        -        -        -        -        -        -        -        -        -        -        -
1908, 19          -        -        -        -        -        -        -        -        -        -        -        -
1908, 20          -        -        -        -        -        -        -        -        -        -        -        -
1908, 21          -        -        -        -        -        -        -        -        -        -        -        -
1908, 22          -        -        -        -        -        -        -        -        -        -        -        -
1908, 23          -        -        -        -        -        -        -        -        -        -        -        -
1908, 24          -        -        -        -        -        -        -        -        -        -        -        -
1908, 25          -        -        -        -        -        -        -        -        -        -        -        -
1908, 26          -        -        -        -        -        -        -        -        -        -        -        -
1908, 27          -        -        -        -        -        -        -        -        -        -        -        -
1908, 28          -        -        -        -        -        -        -        -        -        -        -        -
1908, 29          -        -        -        -        -        -        -        -        -        -        -        -
1908, 30          -                 -        -        -        -        -        -        -        -        -        -
1908, 31          -                 -                 -                 -        -                 -                 -
1909,  1          -        -        -        -        -        -        -        -        -        -        -        -
1909,  2          -        -        -        -        -        -        -        -        -        -        -        -
1909,  3          -        -        -        -        -        -        -        -        -        -        -        -
1909,  4          -        -        -        -        -        -        -        -        -        -        -        -
1909,  5          -        -        -        -        -        -        -        -        -        -        -        -
1909,  6          -        -        -        -        -        -        -        -        -        -        -        -
1909,  7          -        -        -        -        -        -        -        -        -        -        -        -
1909,  8          -        -        -        -        -        -        -        -        -        -        -        -
1909,  9          -        -        -        -        -        -        -        -        -        -        -        -
1909, 10          -        -        -        -        -        -        -        -        -        -        -        -
1909, 11          -        -        -        -        -        -        -        -        -        -        -        -
1909, 12          -        -        -        -        -        -        -        -        -        -        -        -
1909, 13          -        -        -        -        -        -        -        -        -        -        -        -
1909, 14          -        -        -        -        -        -        -        -        -        -        -        -
1909, 15          -        -        -        -        -        -        -        -        -        -        -        -
