Sim	QM	forNTS	indicator	confidence
239	47	6354.767689393394	-1	3
240	48	6332.501111415634	-1	3
241	1	6292.840226134843	-1	3
242	2	6259.769701683378	-1	3
243	3	6248.171567346826	-1	3
244	4	6236.261118265245	-1	3
245	5	6234.994257009643	-1	3
246	6	6240.878776598643	-1	3
247	7	6250.703302808238	-1	3
248	8	6244.886178343531	-1	3
249	9	6225.802769328543	-1	3
250	10	6237.736335336077	-1	3
251	11	6222.737870693876	-1	3
252	12	6188.088100468673	-1	3
253	13	6165.88383472282	-1	3
254	14	6175.412610413745	-1	3
255	15	6177.536558805273	-1	3
256	16	6175.798802116146	-1	3
257	17	6189.631693188949	-1	3
258	18	6199.420682178163	-1	3
259	19	6246.312593234339	-1	3
260	20	6280.767926007647	-1	3
261	21	6309.55200120543	-1	3
262	22	6331.783401721204	-1	3
263	23	6351.342639367839	-1	3
264	24	6352.919836772519	-1	3
265	25	6357.73022782834	-1	3
266	26	6362.7463137646155	-1	3
267	27	6376.927085747802	-1	3
268	28	6379.710996026425	-1	3
269	29	6380.17228811472	-1	3
270	30	6381.07893119817	-1	3
271	31	6372.86975895429	-1	3
272	32	6383.528229714897	-1	3
273	33	6402.522840954635	-1	3
274	34	6426.940094262111	-1	3
275	35	6425.274163993829	-1	3
276	36	6435.07715311386	-1	3
277	37	6435.093011262587	-1	3
278	38	6430.001833384416	-1	3
279	39	6409.463996921637	-1	3
280	40	6402.713480406607	-1	3
281	41	6395.610800820951	-1	3
282	42	6400.187344257603	-1	3
283	43	6393.481040941611	-1	3
284	44	6391.812023412037	-1	3
285	45	6390.842332724406	-1	3
286	46	6387.217452932668	-1	3
287	47	6385.2934265185595	-1	3
288	48	6393.624092396873	-1	3
289	1	6398.995647864558	-1	3
290	2	6396.977529133314	-1	3
291	3	6387.805750551807	-1	3
292	4	6404.699188351454	-1	3
293	5	6404.52445481447	-1	3
294	6	6392.956509227035	-1	3
295	7	6387.296953733863	-1	3
296	8	6384.068939017152	-1	3
297	9	6396.675586442291	-1	3
298	10	6369.129842573054	-1	3
299	11	6362.698548133387	-1	3
300	12	6365.962240457971	-1	3
301	13	6357.570964022948	-1	3
302	14	6352.983559001333	-1	3
303	15	6344.394944447247	-1	3
304	16	6340.983850024035	-1	3
305	17	6331.863148667522	-1	3
306	18	6309.1367937193945	-1	3
307	19	6276.384685240557	-1	3
308	20	6263.804833357668	-1	3
309	21	6233.855607606501	-1	3
310	22	6217.152280602133	-1	3
311	23	6206.264894842071	-1	3
312	24	6203.228708475709	-1	3
313	25	6231.128964166725	-1	3
