Sim	Year	Month	QM	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4
1064	2044	2	8	1808.8148267296	1773.244964455468	1688.8024208108945	1685.2058584776623	6802.0	6830.7155096804	6742.710480430401	6842.180664846611	1516.2683882959998	1539.710278014587	1437.824864786618	1583.5869023998766	8610.8148267296	8603.960474135867	8431.512901241294	8527.386523324272
1065	2044	3	9	1502.3362476896	1475.0064902030842	1532.314869280041	1484.0383755202988	6911.0	6742.710480430401	6887.8464829404	6901.941166299212	1585.491863296	1470.0107240095872	1607.3290168844774	1980.3105938450553	8413.3362476896	8217.716970633484	8420.16135222044	8385.97954181951
1066	2044	3	10	1922.3947070496001	1885.3850152153404	1736.527951513306	1735.405755186029	7138.0	6887.8464829404	7126.7818450304	7035.0247383769	1864.6146882959997	1884.747711874587	2184.95035104387	2632.483692118899	9060.3947070496	8773.231498155741	8863.309796543706	8770.43049356293
1067	2044	3	11	2493.6348872495996	2216.5470110182596	2078.679776505231	1883.8111872458185	7387.0	7126.7818450304	7318.9432588804	7294.409721483692	2709.872239496	2765.0382122264273	3060.3893856072577	3048.6972018211623	9880.6348872496	9343.32885604866	9397.623035385632	9178.22090872951
1068	2044	3	12	2669.4886935296	2436.132610358748	2139.4349365098315	1961.604703180301	7840.0	7318.9432588804	7700.0882080304	7412.621714631571	3071.6237338960004	3275.9284146645077	3207.6910092670396	3238.679592031972	10509.4886935296	9755.075869239148	9839.523144540231	9374.226417811871
1069	2044	4	13	2482.8860764096003	2176.3318695535963	1987.99065250769	1735.8841369834577	7725.0	7700.0882080304	7643.5867889804	7694.458295058092	3115.638088896	3095.0019918755074	3155.553784094629	3070.883021556328	10207.8860764096	9876.420077583996	9631.57744148809	9430.342432041549
1070	2044	4	14	2885.9129376896003	2547.978336237084	2136.345785904777	1885.020838751975	7751.0	7643.5867889804	7723.4169223304	7667.361823392452	2887.816403096	3009.8959578639474	2963.4375511095127	2917.572584398352	10636.9129376896	10191.565125217485	9859.762708235177	9552.382662144426
1071	2044	4	15	2420.8268560096	2036.000291791756	1813.2611854562006	1608.6738728726866	7711.0	7723.4169223304	7705.7064578204	7808.781597161932	2950.149556696	2921.4339978194675	2886.588382172655	2707.984947742102	10131.8268560096	9759.417214122155	9518.967643276601	9417.455470034618
1072	2044	4	16	1673.4880659295995	1527.1735334597881	1404.0852074729046	1262.3024903296132	7579.0	7705.7064578204	7726.637251740401	7777.100188738644	1987.1209526960001	2229.7376428266675	2223.4546033815063	2106.0616562703144	9252.4880659296	9232.879991280188	9130.722459213306	9039.402679068256
1073	2044	5	17	1778.4798973696	1602.411339541212	1404.1306272331406	1202.0554518743688	7602.0	7726.637251740401	7718.1119555304	7743.37865327034	2090.720631696	2125.7213789344673	2033.9680891016983	1808.1789144275065	9380.4798973696	9329.048591281613	9122.242582763542	8945.434105144708
1074	2044	5	18	1868.4341802496	1614.0707187560604	1352.1890310024917	1303.404322279862	7747.0	7718.1119555304	7754.9609844804	7710.143400596092	1757.847126496	1775.3412017198273	1617.4010598896275	1442.938190575102	9615.4341802496	9332.182674286461	9107.150015482892	9013.547722875954
1075	2044	5	19	1495.6892568096002	1258.7646660514363	1236.594147119285	1064.9462932423407	7638.0	7754.9609844804	7664.5757202904	7704.215097362852	1789.365126496	1627.2603093198272	1450.2109319079477	1268.7026221915678	9133.689256809601	9013.725650531836	8901.169867409684	8769.161390605193
1076	2044	5	20	1394.6477447696002	1343.830450237252	1141.6337419463011	892.2203498496556	7482.0	7664.5757202904	7548.954889390401	7504.72860820158	1599.160906496	1430.4561895158272	1254.130404242115	1117.6547121115855	8876.6477447696	9008.40617052765	8690.588631336703	8396.948958051235
1077	2044	6	21	1667.2002305695996	1396.8309313979319	1074.7184480350998	892.932375258623	7415.0	7548.954889390401	7362.7699385004	7397.69836411566	1394.720290496	1229.0069707046273	1099.122243204631	1001.1360662672479	9082.2002305696	8945.785820788333	8437.4883865355	8290.630739374283
1078	2044	6	22	1284.7303019695999	986.250794884372	829.6668726657842	734.8640441198933	7382.0	7362.7699385004	7302.734423030401	7362.358500369427	1211.885814496	1087.0855450414272	992.2571153022407	901.9925004481754	8666.7303019696	8349.020733384772	8132.401295696185	8097.22254448932
1079	2044	6	23	905.6967935696	766.0952095577321	689.402306705641	574.51903609941	7276.0	7302.734423030401	7313.0037593504	7336.346640630092	1293.816280896	1137.5951659699072	1009.2020863105871	883.0363201405257	8181.6967935696	8068.829632588133	8002.406066056041	7910.865676729502
