Sim	Year	Month	QM	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4
2796	2080	3	12	2024.9251894096	1821.457796183396	1821.2927120970928	1707.8425450934078	7030.0	6911.2858378804	7065.7663240304	6935.540132566772	2299.937633896	2757.3990826445074	2837.885969947275	2936.9089121042207	9054.9251894096	8732.743634063796	8887.059036127494	8643.38267766018
2797	2080	4	13	2145.6451012896005	2077.135076321644	1890.8020244143895	1743.3980060292897	7357.0	7065.7663240304	7189.0623479804	7179.274496438891	3040.486428896	3036.905060663507	3083.7166764603703	2964.319707242865	9502.6451012896	9142.901400352044	9079.86437239479	8922.67250246818
2798	2080	4	14	3195.4611112496004	2773.36334696866	2374.5403914304916	2166.7331510942613	7512.0	7189.0623479804	7433.0922113304	7291.536675351651	3412.413343096	3347.710521171947	3159.0565337775183	3042.301971623147	10707.4611112496	9962.42569494906	9807.632602760892	9458.269826445912
2799	2080	4	15	2399.6343035695995	2079.6006435237323	1955.8141233889046	1668.6518907857107	7291.0	7433.0922113304	7349.5188118204	7466.9359085451315	3685.0814566960003	3396.2386533994672	3217.260949687211	2978.6826910060677	9690.634303569599	9512.692854854133	9305.332935209304	9135.587799330842
2800	2080	4	16	2085.4694030496003	1960.4456351369404	1671.9640044008972	1352.2722349248547	7377.0	7349.5188118204	7435.0306587404	7412.0579846938435	3113.1347326960004	3018.2302066226675	2831.8663312171934	2604.1354823485117	9462.4694030496	9309.96444695734	9106.994663141297	8764.330219618698
2801	2080	5	17	2077.4490564496	1764.3008462805801	1418.3046942622886	1200.1525149316985	7353.0	7435.0306587404	7414.0380845304	7423.67326717194	2917.402031696	2760.981030414467	2551.8464657566337	2265.37414736509	9430.4490564496	9199.33150502098	8832.342778792688	8623.825782103639
2802	2080	5	18	1550.9923240895998	1249.965725502524	1079.7689726396752	1079.0361277941597	7528.0	7414.0380845304	7476.5542284804	7407.424203771291	2857.002186496	2619.3522848118273	2315.170266626102	2020.4006963375166	9078.9923240896	8664.003810032924	8556.323201120074	8486.460331565451
2803	2080	5	19	1197.2887684896	1038.197334854764	1049.3071764271683	856.8012791738054	7622.0	7476.5542284804	7525.7129412904005	7531.889044550051	2169.622786496	1998.9966297318274	1787.1730968456461	1587.3769137645968	8819.2887684896	8514.751563335163	8575.02011771757	8388.690323723857
2804	2080	5	20	947.4116853296	977.6608940270281	805.5651730545368	703.5750924884067	7607.0	7525.7129412904005	7606.0865993904	7458.94106050638	1723.236526496	1593.3052827998272	1444.3690231232836	1292.5548903356903	8554.4116853296	8503.373835317429	8411.651772444937	8162.516152994787
2805	2080	6	21	1512.8143081695998	1227.8979187868922	1005.5961416355802	835.5322847708308	7619.0	7606.0865993904	7512.0027395004	7465.75785576366	1566.185730496	1425.3031457126272	1278.4908182505765	1139.6522326467905	9131.8143081696	8833.984518177293	8517.59888113598	8301.290140534491
