Sim	Year	Month	QM	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4
584	2034	2	8	887.7011406096	1141.9437500229162	1336.2511079834894	1474.662567430908	4887.0	4937.4533906804	4907.3660924304	5009.0965725594115	617.1817082959999	831.673402438587	854.0925593235349	1114.0291577568264	5774.7011406096	6079.397140703316	6243.61720041389	6483.759139990319
585	2034	3	9	912.8537886896	1155.4577320416843	1345.3725570479405	1434.3830556948772	4808.0	4907.3660924304	4935.4634839404	5054.705002404812	853.220643296	869.2409308055874	1125.2034553727647	1573.11011360564	5720.8537886896	6062.823824472085	6280.836040988341	6489.088058099689
586	2034	3	10	1636.2969239296	1724.841566866588	1705.751140747172	1810.9517552285556	4943.0	4935.4634839404	5074.9735690304005	5065.4086955457	704.0913682960002	1009.0982454505873	1487.4643283825535	2069.5552655271454	6579.2969239296	6660.305050806988	6780.724709777573	6876.360450774255
587	2034	3	11	1812.5016467696	1774.930783926452	1860.4239039637955	1860.8282887784158	4979.0	5074.9735690304005	5090.1722658804	5219.929643094892	982.972919496	1469.0974226024273	2056.0067945437013	2240.308217969464	6791.5016467696005	6849.904352956853	6950.596169844195	7080.757931873308
588	2034	3	12	1993.0087023695996	2032.5267881942118	1983.903504190354	1940.3957056823053	5122.0	5090.1722658804	5246.6782770304	5167.184303813171	1416.160733896	2018.7906780645071	2212.855500550919	2397.497283133076	7115.0087023696	7122.699054074612	7230.581781220753	7107.580009495477
589	2034	4	13	2722.5910580496	2528.48890739994	2329.8427861884165	2205.1703792957273	5296.0	5246.6782770304	5284.2591189804	5345.4336573052915	2275.638328896	2393.427280243507	2530.6972650397265	2496.5342361176904	8018.5910580496	7775.16718443034	7614.101905168816	7550.604036601018
590	2034	4	14	2476.9515912496	2289.1705309766603	2176.084599624688	2152.3620940060223	5307.0	5284.2591189804	5379.7446533304	5379.023785696451	2572.590483096	2656.6544941199472	2589.4474292149716	2574.457460736001	7783.9515912496	7573.42964995706	7555.829252955088	7531.385879702473
591	2034	4	15	1712.0799057696	1720.655816327852	1826.6732140102	1807.9557526245385	5323.0	5379.7446533304	5401.0595988204	5512.220444554732	2115.253236696	2208.825732795467	2293.6893187668184	2248.1235530351964	7035.0799057696	7100.400469658252	7227.7328128306	7320.176197179271
592	2034	4	16	1935.1370930496	1995.9376980109403	1929.0011547578974	1861.074370750075	5402.0	5401.0595988204	5524.8792857404005	5527.428436339444	1581.765472696	1852.8467150906672	1922.933055753111	1842.543835043084	7337.1370930496	7396.9972968313405	7453.880440498298	7388.502807089519
593	2034	5	17	1782.7772336495998	1760.7790303797	1740.774386891691	1807.5843813871675	5552.0	5524.8792857404005	5613.2833365304	5588.51667520954	1746.261731696	1848.0005419544673	1787.2693646956623	1598.2954020231182	7334.7772336496	7285.658316120101	7354.057723422091	7396.101056596708
594	2034	5	18	1586.7065552896	1603.399749230044	1709.3442316189162	1746.5979578742022	5487.0	5613.2833365304	5566.9709374804	5583.407704108892	1393.7047064960002	1467.8854526758273	1362.6997215976266	1236.1015798184965	7073.7065552896	7216.683085760445	7276.315169099316	7330.005661983094
595	2034	5	19	1424.1402180896	1567.8760694349241	1645.4304230441921	1529.619915546871	5510.0	5566.9709374804	5524.6601422904005	5597.7874656292515	1214.627426496	1184.6515581798271	1104.7631603481996	991.8288181228704	6934.1402180896	7134.847006915324	7170.090565334593	7127.407381176123
596	2034	5	20	1452.9563219296	1554.737976317388	1464.7634056339218	1472.7705249383516	5480.0	5524.6601422904005	5548.318396390399	5443.4074564351795	999.1802264959999	974.3711231398272	895.6442591264718	819.6865053629023	6932.9563219296	7079.398118607789	7013.081802024321	6916.177981373531
597	2034	6	21	1205.9277059296	1189.4890724437882	1275.9147429667112	1273.776712522485	5369.0	5548.318396390399	5354.8679675004005	5416.315269897259	915.177050496	854.0290097366274	788.9887381082135	733.1536087285493	6574.9277059296	6737.807468834188	6630.782710467111	6690.091982419744
598	2034	6	22	938.4599832096001	1077.8074307208763	1132.105059322921	1153.1527467280057	5274.0	5354.8679675004005	5260.2829660304	5366.875112264628	780.9464944960002	737.6094874174275	695.2533605610842	649.5006869227849	6212.4599832096	6432.675398221277	6392.388025353321	6520.027858992634
599	2034	6	23	691.2647226896	827.053014598084	935.0021545154079	994.9483251194275	5359.0	5260.2829660304	5369.2254123504	5329.432135888492	801.902740896	740.4534905419072	682.8428653399975	613.9615758874351	6050.2647226896	6087.335980628483	6304.227566865808	6324.38046100792
600	2034	6	24	560.6767772096001	724.783169153276	844.615301807138	882.4537638275924	5344.0	5369.2254123504	5377.050384810401	5348.687047875308	698.864330896	653.6044099799072	592.3936335900692	553.058686498538	5904.6767772096	6094.008581503676	6221.665686617539	6231.1408117029005
601	2034	7	25	497.12857068959977	664.9546865388841	753.9738198449118	817.0262223426115	5294.0	5377.050384810401	5305.8988333304005	5324.549019520557	733.596597896	648.6305961893072	594.54225836927	557.2064970363524	5791.1285706896	6042.005071349285	6059.872653175313	6141.575241863168
602	2034	7	26	443.73006688960015	579.3876197554041	692.175123652132	754.8892790706706	5302.0	5305.8988333304005	5281.8603606404	5285.912251048732	578.6566298959999	545.3484129717071	520.9183277109498	509.1054809464426	5745.7300668896005	5885.286453085804	5974.035484292533	6040.801530119403
603	2034	7	27	323.2317300095999	490.0218393921559	610.3242468355504	564.5576014670856	5241.0	5281.8603606404	5248.9977946504005	5233.214086182659	598.606726896	558.3605565871073	536.7249916880403	504.87104676444403	5564.2317300096	5771.882200032556	5859.322041485951	5797.771687649745
